Step,AgentID,FirmType,Profit,IncomeBracket,NumPeople,SpendRatio,IncomeTaxRate,PostTaxIncome,HouseholdExpense,HouseholdSavings,HealthLevel,Welfare
9,24,necessity,-1175530.1865281698,,,,,,,,,
9,25,necessity,-1505225.8795686262,,,,,,,,,
9,26,necessity,-1662602.5079018916,,,,,,,,,
9,27,necessity,-1742049.232226309,,,,,,,,,
9,28,necessity,-2471282.148810977,,,,,,,,,
9,29,necessity,-2904601.4316861858,,,,,,,,,
9,30,necessity,-1603428.3719318332,,,,,,,,,
9,31,necessity,-2568771.2327886634,,,,,,,,,
9,32,luxury,-851919.4744617977,,,,,,,,,
9,33,luxury,-891679.9541593319,,,,,,,,,
9,34,luxury,-927607.8817925256,,,,,,,,,
9,35,luxury,-1534545.9553649428,,,,,,,,,
9,36,luxury,-2407507.2406302956,,,,,,,,,
9,37,luxury,-1448826.348885984,,,,,,,,,
9,38,luxury,-2404973.1340044285,,,,,,,,,
9,39,luxury,-1370921.5568438442,,,,,,,,,
9,40,luxury,-1868148.8139021436,,,,,,,,,
9,41,luxury,-1378378.9417461217,,,,,,,,,
9,42,luxury,-2142438.1299845157,,,,,,,,,
9,43,luxury,-1509102.8508328032,,,,,,,,,
9,44,luxury,-655448.8107511632,,,,,,,,,
9,45,luxury,-2731521.2572935433,,,,,,,,,
9,46,luxury,-611853.4681966422,,,,,,,,,
9,47,luxury,-1630173.6061861592,,,,,,,,,
9,48,luxury,-892780.7924915468,,,,,,,,,
9,49,luxury,-1653420.2902414391,,,,,,,,,
9,50,luxury,-1735107.6942824223,,,,,,,,,
9,51,luxury,-803207.7044223988,,,,,,,,,
10,2,necessity,-2672078.8091120287,,,,,,,,,
10,3,necessity,-1628235.2042909632,,,,,,,,,
10,4,necessity,-2052076.928370357,,,,,,,,,
10,5,necessity,-3251684.4266378633,,,,,,,,,
10,6,necessity,-2513530.3433803036,,,,,,,,,
10,7,necessity,-2531202.043823141,,,,,,,,,
10,8,necessity,-2564765.6649194574,,,,,,,,,
10,9,necessity,-1605548.4690307248,,,,,,,,,
10,10,necessity,-2723607.7201912757,,,,,,,,,
10,11,necessity,-2535200.0504547204,,,,,,,,,
10,12,necessity,-1587850.5756606157,,,,,,,,,
10,13,necessity,-1651115.1388065564,,,,,,,,,
10,14,necessity,-2900132.329001141,,,,,,,,,
10,15,necessity,-2490085.9601390543,,,,,,,,,
10,16,necessity,-1647974.5157347606,,,,,,,,,
10,17,necessity,-1947231.2689229595,,,,,,,,,
10,18,necessity,-2048408.697851316,,,,,,,,,
10,19,necessity,-1829964.1047756847,,,,,,,,,
